-183.800, 80.200, 0.000,  0.000
-183.800, 80.200, 0.000,  0.016
-183.800, 80.200, 0.000,  0.049
-183.800, 80.200, 0.000,  0.082
-183.800, 80.200, -0.022,  0.115
-183.800, 80.199, 0.021,  0.148
-183.800, 80.199, 0.020,  0.181
-183.800, 80.198, 0.021,  0.214
-183.800, 80.198, 0.025,  0.247
-183.800, 80.197, 0.045,  0.280
-183.799, 80.193, 0.116,  0.313
-183.797, 80.186, 0.218,  0.346
-183.793, 80.174, 0.333,  0.379
-183.788, 80.160, 0.415,  0.412
-183.779, 80.144, 0.518,  0.445
-183.768, 80.124, 0.614,  0.478
-183.754, 80.102, 0.670,  0.511
-183.735, 80.076, 0.842,  0.544
-183.713, 80.046, 0.932,  0.577
-183.688, 80.013, 1.085,  0.610
-183.661, 79.975, 1.222,  0.643
-183.633, 79.933, 1.378,  0.676
-183.603, 79.886, 1.535,  0.709
-183.572, 79.835, 1.684,  0.742
-183.540, 79.780, 1.819,  0.775
-183.507, 79.721, 1.933,  0.808
-183.475, 79.660, 2.005,  0.841
-183.442, 79.598, 2.043,  0.874
-183.410, 79.536, 2.055,  0.907
-183.379, 79.475, 2.047,  0.940
-183.347, 79.414, 2.025,  0.973
-183.316, 79.354, 1.991,  1.006
-183.286, 79.296, 1.950,  1.039
-183.256, 79.239, 1.903,  1.072
-183.227, 79.184, 1.853,  1.105
-183.198, 79.131, 1.800,  1.138
-183.170, 79.079, 1.745,  1.171
-183.143, 79.030, 1.665,  1.204
-183.117, 78.983, 1.604,  1.237
-183.091, 78.937, 1.555,  1.270
-183.065, 78.893, 1.519,  1.303
-183.040, 78.849, 1.499,  1.336
-183.014, 78.805, 1.496,  1.369
-182.989, 78.761, 1.512,  1.402
-182.963, 78.716, 1.547,  1.435
-182.936, 78.669, 1.598,  1.468
-182.909, 78.621, 1.662,  1.501
-182.882, 78.569, 1.733,  1.534
-182.854, 78.516, 1.810,  1.567
-182.825, 78.459, 1.888,  1.600
-182.796, 78.401, 1.959,  1.633
-182.768, 78.340, 1.994,  1.666
-182.740, 78.280, 2.000,  1.699
-182.712, 78.219, 1.988,  1.732
